iter	Passed	Remaining
832	56417	11310
833	56491	11244
834	56611	11186
835	56692	11121
836	56750	11051
837	56824	10985
838	56885	10915
839	56932	10844
840	56991	10774
841	57052	10705
842	57142	10642
843	57201	10572
844	57259	10503
845	57336	10437
846	57410	10370
847	57464	10300
848	57527	10231
849	57586	10162
850	57638	10091
851	57697	10022
852	57764	9954
853	57834	9887
854	57882	9816
855	57967	9751
856	58040	9684
857	58138	9622
858	58193	9552
859	58241	9481
860	58308	9413
861	58388	9347
862	58496	9286
863	58568	9219
864	58633	9150
865	58699	9082
866	58779	9016
867	58837	8947
868	58913	8881
869	58980	8813
870	59046	8745
871	59108	8676
872	59186	8610
873	59240	8540
874	59290	8470
875	59361	8402
876	59415	8333
877	59494	8266
878	59553	8197
879	59606	8128
880	59690	8062
881	59736	7991
882	59804	7924
883	59870	7856
884	59948	7789
885	60016	7722
886	60080	7654
887	60140	7585
888	60217	7518
889	60272	7449
890	60353	7383
891	60413	7314
892	60494	7248
893	60549	7179
894	60607	7110
895	60662	7041
896	60729	6973
897	60781	6903
898	60865	6838
899	60939	6771
900	60981	6700
901	61028	6630
902	61093	6562
903	61173	6496
904	61242	6428
905	61320	6362
906	61373	6292
907	61461	6227
908	61509	6157
909	61577	6090
910	61648	6022
911	61709	5954
912	61773	5886
913	61834	5818
914	61970	5756
915	62053	5690
916	62119	5622
917	62200	5556
918	62329	5493
919	62420	5427
920	62475	5358
921	62565	5292
922	62642	5225
923	62705	5157
924	62777	5090
925	62838	5021
926	62956	4957
927	63010	4888
928	63081	4821
929	63151	4753
930	63202	4684
931	63257	4615
932	63313	4546
933	63376	4478
934	63449	4410
935	63530	4343
936	63562	4273
937	63595	4203
938	63639	4134
939	63686	4065
940	63721	3995
941	63800	3928
942	63848	3859
943	63894	3790
944	63934	3721
945	63978	3652
946	64044	3584
947	64100	3516
948	64155	3447
949	64244	3381
950	64305	3313
951	64346	3244
952	64395	3175
953	64449	3107
954	64497	3039
955	64545	2970
956	64589	2902
957	64638	2833
958	64714	2766
959	64811	2700
960	64886	2633
961	64969	2566
962	65022	2498
963	65120	2431
964	65196	2364
965	65263	2297
966	65358	2230
967	65455	2163
968	65594	2098
969	65714	2032
970	65811	1965
971	65872	1897
972	65949	1830
973	66024	1762
974	66096	1694
975	66199	1627
976	66254	1559
977	66307	1491
978	66421	1424
979	66479	1356
980	66514	1288
981	66552	1219
982	66609	1151
983	66681	1084
984	66715	1015
985	66800	948
986	66847	880
987	66900	812
988	66947	744
989	66993	676
990	67039	608
991	67075	540
992	67120	473
993	67157	405
994	67205	337
995	67257	270
996	67293	202
997	67328	134
998	67373	67
999	67417	0
